City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hilo,US,82.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
2,Huilong,CN,83.89,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
6,Myitkyina,MM,76.73,clear sky,25.3833,97.4,Shwe Phyu Hotel
10,Jamestown,US,75.02,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
14,Mantua,IT,78.04,scattered clouds,45.1667,10.7833,Hotel la Favorita
15,Upata,VE,76.17,overcast clouds,8.0086,-62.3989,Posada Villa Nela
16,Labuhan,ID,76.28,moderate rain,-6.8844,112.2051,DoubleFAG
17,Butaritari,KI,82.54,broken clouds,3.0707,172.7902,Isles Sunset Lodge
21,Lompoc,US,89.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
23,Tierralta,CO,82.83,broken clouds,8.1736,-76.0592,Hotel La Marqueza
24,Portland,US,82.87,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
30,Bethel,US,89.47,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
32,Samarai,PG,77.63,overcast clouds,-10.6167,150.6667,Nuli Sapi
34,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
35,Atuona,PF,78.13,scattered clouds,-9.8,-139.0333,Villa Enata
36,Kapaa,US,84.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
40,Meulaboh,ID,76.42,overcast clouds,4.1363,96.1285,Kost Pria
43,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
50,Biltine,TD,80.6,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
51,Kaseda,JP,80.92,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
58,Morden,CA,83.08,few clouds,49.1919,-98.1014,Morden Motor Inn
61,Puerto Ayora,EC,75.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
64,Bengkulu,ID,76.21,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
70,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
85,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
89,Maiduguri,NG,81.81,broken clouds,11.8464,13.1603,Kagel Mari Police Station
91,Ambon,ID,75.34,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
93,Dzilam Gonzalez,MX,87.04,overcast clouds,21.2833,-88.9333,posadas
103,Cozumel,MX,87.94,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
104,Cholet,FR,76.24,scattered clouds,47.1667,-1.0,Chateau De La Moriniere
106,Bandarbeyla,SO,76.35,broken clouds,9.4942,50.8122,JABIR HOTEL
109,Veraval,IN,80.51,overcast clouds,20.9,70.3667,Lords Inn Somnath
116,Conceicao Do Araguaia,BR,82.08,few clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
117,Kuching,MY,75.42,few clouds,1.55,110.3333,Hilton Kuching
118,Marsa Matruh,EG,79.0,clear sky,31.3525,27.2453,Beau Site
119,Toba,JP,78.8,overcast clouds,34.4833,136.85,ホテル アルティア鳥羽
125,Hamilton,US,88.95,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
128,Katsuura,JP,75.16,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
133,Myrtle Beach,US,84.25,clear sky,33.6891,-78.8867,Bay View Resort Myrtle Beach
139,Cayhagan,PH,79.38,broken clouds,9.6697,122.4256,Melrose Beach Resort
140,Eydhafushi,MV,82.22,broken clouds,5.1033,73.0708,Soneva Fushi
147,Sinnamary,GF,76.01,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
154,Halifax,CA,80.49,scattered clouds,44.6453,-63.5724,Hotel Halifax
155,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
158,Hithadhoo,MV,83.46,overcast clouds,-0.6,73.0833,Scoop Guest House
161,Cururupu,BR,75.06,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
166,Qui Nhon,VN,77.56,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
168,Ugoofaaru,MV,82.0,overcast clouds,5.6667,73.0,Ungoofaaru Inn
169,Havelock,US,87.78,overcast clouds,34.8791,-76.9013,Sherwood Motel
174,Tacoma,US,78.57,clear sky,47.2529,-122.4443,Hotel Murano
176,Mecca,SA,89.33,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
178,Nisia Floresta,BR,80.98,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
179,Kindu,CD,75.87,broken clouds,-2.95,25.95,Résidence Okanda
188,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
193,Tarauaca,BR,84.72,broken clouds,-8.1614,-70.7656,Flat Temporada
194,Faanui,PF,78.51,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
197,Jiangyou,CN,75.92,heavy intensity rain,31.7667,104.7167,Shangping Shuyuan Inn
199,San Onofre,CO,80.8,overcast clouds,9.7359,-75.5263,Hotel Sinai
200,Vaitape,PF,78.48,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
203,Elizabeth City,US,80.02,light rain,36.2946,-76.2511,Hampton Inn Elizabeth City
205,Puerto Escondido,MX,85.71,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
207,Hirara,JP,84.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
209,Broome,US,76.64,scattered clouds,42.2506,-75.833,Chenango Valley State Park
211,Santa Rita,BR,77.67,clear sky,-7.1139,-34.9781,Infinity Motel
212,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
216,Koror,PW,75.52,broken clouds,7.3398,134.4733,Palau Royal Resort
218,Akyab,MM,80.11,overcast clouds,20.15,92.9,Hotel Memory
224,Valle De Allende,MX,85.82,overcast clouds,26.9333,-105.4,Hotel Meson de San Bartolome
227,Ipixuna,BR,77.04,heavy intensity rain,-1.7625,-48.8043,Chalé do Mato
231,Mana,GF,75.31,overcast clouds,5.6592,-53.7767,LE SAMANA
233,Hatillo,PR,85.19,overcast clouds,18.4863,-66.8254,El Buen Hotel
247,Borba,BR,83.64,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
249,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
251,Gola Gokarannath,IN,86.81,overcast clouds,28.0833,80.4667,Vikas Home
253,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,Cititel Penang
257,Kavieng,PG,81.68,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
259,Houma,US,89.01,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
260,Uruacu,BR,75.36,overcast clouds,-14.5247,-49.1408,Cassius Hotel
261,Domoni,KM,75.43,broken clouds,-12.2569,44.5319,Al Djadid
265,Alenquer,BR,80.17,overcast clouds,-1.9417,-54.7383,Detinha Hotel
266,Laramie,US,84.58,broken clouds,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
268,Kudahuvadhoo,MV,82.85,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
270,Port Hawkesbury,CA,77.9,broken clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
271,Nishihara,JP,81.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
272,Shieli,KZ,80.17,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
277,Namatanai,PG,80.8,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
278,Millinocket,US,80.42,broken clouds,45.6573,-68.7098,Katahdin Inn & Suites
282,Kefalos,GR,75.42,few clouds,36.7453,26.9589,Kokalakis Hotel
289,Key West,US,89.01,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
292,Kampot,KH,75.25,overcast clouds,10.6167,104.1833,Two Moons Hotel
294,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
299,Evanston,US,81.72,clear sky,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
301,Kavaratti,IN,81.12,overcast clouds,10.5669,72.642,Green leaf
304,Kinston,US,87.98,clear sky,35.2627,-77.5816,Hampton Inn Kinston
305,Victoria,HK,85.17,scattered clouds,22.2855,114.1577,Mini Central
310,Korla,CN,76.14,overcast clouds,41.7597,86.1469,Gulisitan Hotel
311,Thompson,CA,80.76,clear sky,55.7435,-97.8558,Burntwood Hotel
313,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
314,Acajutla,SV,84.27,overcast clouds,13.5928,-89.8275,Laureles
315,Cascais,PT,87.15,light rain,38.6979,-9.4215,Hotel Vila Galé Cascais
316,Yanliang,CN,78.44,overcast clouds,34.6592,109.2292,Pod Inn Xi'an Yanliang Renmin Road
317,Senador Guiomard,BR,82.15,overcast clouds,-10.1522,-67.7392,Paraíso Hotel
