City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,-24.7911,-50.0119,53.53,95,98,8.9,overcast clouds
1,Hilo,US,19.7297,-155.09,82.27,91,100,11.5,moderate rain
2,Huilong,CN,31.8111,121.655,83.89,78,96,4.61,overcast clouds
3,Albany,US,42.6001,-73.9662,82.81,47,74,6.6,broken clouds
4,Flinders,AU,-34.5833,150.8552,52.88,73,81,11.99,light rain
5,Ponta Do Sol,PT,32.6667,-17.1,72.01,77,12,3.85,few clouds
6,Myitkyina,MM,25.3833,97.4,76.73,94,2,1.05,clear sky
7,Upernavik,GL,72.7868,-56.1549,41.72,86,18,11.79,few clouds
8,Airai,TL,-8.9266,125.4092,52.09,87,46,3.6,scattered clouds
9,Caravelas,BR,-17.7125,-39.2481,71.1,87,4,4.63,clear sky
10,Jamestown,US,42.097,-79.2353,75.02,56,75,8.05,broken clouds
11,Rikitea,PF,-23.1203,-134.9692,72.79,79,89,9.26,light rain
12,Yellowknife,CA,62.456,-114.3525,68.52,56,75,8.05,broken clouds
13,Hermanus,ZA,-34.4187,19.2345,61.81,82,100,19.33,light rain
14,Mantua,IT,45.1667,10.7833,78.04,72,38,1.99,scattered clouds
15,Upata,VE,8.0086,-62.3989,76.17,82,98,5.17,overcast clouds
16,Labuhan,ID,-6.8844,112.2051,76.28,89,100,4.25,moderate rain
17,Butaritari,KI,3.0707,172.7902,82.54,77,72,17.07,broken clouds
18,Markova,UA,48.6758,24.4138,60.24,80,74,6.44,broken clouds
19,Maneromango,TZ,-7.1988,38.7848,70.36,78,100,6.93,overcast clouds
20,Norman Wells,CA,65.282,-126.8329,55.44,82,100,11.5,overcast clouds
21,Lompoc,US,34.6391,-120.4579,89.02,67,0,18.41,clear sky
22,Mataura,NZ,-46.1927,168.8643,41.49,98,100,3.83,overcast clouds
23,Tierralta,CO,8.1736,-76.0592,82.83,84,70,3.8,broken clouds
24,Portland,US,45.5234,-122.6762,82.87,49,20,11.5,few clouds
